Image	Object type	Name	Classification	Parent	ROI	Atlas_X	Atlas_Y	Atlas_Z	hemisphere	channel	Atlas_AP	Atlas_DV	Atlas_ML	animal
animalid0_030.ome.tiff	Detection		Cells: marker-	VeCB	Polygon	11.523	4.2724	4.2767	Right	Negative	-6.433715804921882	3.098278381859139	-1.4233000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	VeCB	Polygon	11.5202	4.2784	4.4186	Right	Negative	-6.431449394223712	3.104147465965801	-1.2814000000000005	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	VeCB	Polygon	11.506	4.3172	4.3563	Right	Negative	-6.420685072329418	3.14177965973263	-1.3437000000000001	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	VeCB	Polygon	11.5284	4.2574	4.3364	Right	Negative	-6.437787920150362	3.0837372279568185	-1.3636	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	VeCB	Polygon	11.5487	4.2033	4.2943	Right	Negative	-6.453295546838977	3.0312243813548183	-1.4057000000000004	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	VeCB	Polygon	11.5522	4.1931	4.3942	Right	Negative	-6.455893239706271	3.0213505390104074	-1.3058000000000005	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	DN	Polygon	11.5291	4.2645	3.3677	Right	Negative	-6.439104062212536	3.090352323602499	-2.3323	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.5018	4.3347	3.6574	Right	Negative	-6.418026280095516	3.15857167155715	-2.0426	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.4797	4.394399999999999	3.603	Right	Negative	-6.401213575109724	3.2164954555068306	-2.097	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.5785	4.1312	3.4796	Right	Negative	-6.476698219790005	2.961013837432356	-2.2204	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.5529	4.1974	3.739	Right	Negative	-6.456965345688751	3.0253341664371844	-1.9610000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.5141	4.3027	3.5756	Right	Negative	-6.42749049111412	3.127486409504588	-2.1244	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.6393	3.9692	3.4345	Right	Negative	-6.523147627108862	2.803765462922581	-2.2655000000000003	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.5185	4.2897	3.7034	Right	Negative	-6.430740723130004	3.114907098486335	-1.9966000000000004	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.5803	4.1257	3.5582	Right	Negative	-6.478012013661457	2.9556968810924933	-2.1418000000000004	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.6428	3.9595	3.4733	Right	Negative	-6.525788897847531	2.7943615256172585	-2.2267	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.6198	4.0216	3.3934	Right	Negative	-6.508288791416051	2.854614854209509	-2.3066	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.7148	3.7662	3.5404	Right	Negative	-6.580667711037016	2.6067762011101263	-2.1596	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.5587	4.1804	3.8914	Right	Negative	-6.461261627310973	3.0088805032874206	-1.8086000000000002	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.4976	4.3455	3.7133	Right	Negative	-6.414783544385207	3.169066955857866	-1.9867000000000004	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.5472	4.2148	3.4956	Right	Negative	-6.452803545833438	3.0421555313454487	-2.2044	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.4813	4.3902	3.6048	Right	Negative	-6.40244143250713	3.212416696814144	-2.0952	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.5449	4.2215	3.4353	Right	Negative	-6.451096241504236	3.0486413711429807	-2.2647000000000004	animalid0
animalid0_030.ome.tiff	Detection		Cells: marker-	IP	Polygon	11.492900000000002	4.3584	3.6832	Right	Negative	-6.411225738385622	3.1815769526866124	-2.0168000000000004	animalid0
