bins	distribution	count	hemisphere	channel	axis	animal
-7.96	0.0	0	both	all	Atlas_AP	animalid0
-7.88	0.0	0	both	all	Atlas_AP	animalid0
-7.8	0.0	0	both	all	Atlas_AP	animalid0
-7.72	0.0	0	both	all	Atlas_AP	animalid0
-7.64	0.0	0	both	all	Atlas_AP	animalid0
-7.56	0.0	0	both	all	Atlas_AP	animalid0
-7.4799999999999995	0.0	0	both	all	Atlas_AP	animalid0
-7.4	0.0	0	both	all	Atlas_AP	animalid0
-7.32	0.0	0	both	all	Atlas_AP	animalid0
-7.24	0.007183532730787309	11	both	all	Atlas_AP	animalid0
-7.16	0.0019591452902147206	3	both	all	Atlas_AP	animalid0
-7.08	0.004571339010501015	7	both	all	Atlas_AP	animalid0
-7.0	0.004571339010501015	7	both	all	Atlas_AP	animalid0
-6.92	0.030040227783292385	46	both	all	Atlas_AP	animalid0
-6.84	0.011101823311216749	17	both	all	Atlas_AP	animalid0
-6.76	0.0019591452902147206	3	both	all	Atlas_AP	animalid0
-6.68	0.0019591452902147206	3	both	all	Atlas_AP	animalid0
-6.6	0.01632621075178952	25	both	all	Atlas_AP	animalid0
-6.5200000000000005	0.016979259181860912	26	both	all	Atlas_AP	animalid0
-6.44	0.035917663653936546	55	both	all	Atlas_AP	animalid0
-6.36	0.09469202236037816	145	both	all	Atlas_AP	animalid0
-6.28	0.1038347003813802	159	both	all	Atlas_AP	animalid0
-6.2	0.13648712188495887	209	both	all	Atlas_AP	animalid0
-6.12	0.10514079724152334	161	both	all	Atlas_AP	animalid0
-6.04	0.15999686536753552	245	both	all	Atlas_AP	animalid0
-5.96	0.21877122407397714	335	both	all	Atlas_AP	animalid0
-5.88	0.22399561151454972	343	both	all	Atlas_AP	animalid0
-5.8	0.27558643749020406	422	both	all	Atlas_AP	animalid0
-5.72	0.2690559531894883	412	both	all	Atlas_AP	animalid0
-5.64	0.35852358810929386	549	both	all	Atlas_AP	animalid0
-5.56	0.3650540724100096	559	both	all	Atlas_AP	animalid0
-5.4799999999999995	0.3572174912491507	547	both	all	Atlas_AP	animalid0
-5.3999999999999995	0.4603991432004594	705	both	all	Atlas_AP	animalid0
-5.319999999999999	0.4715009665116761	722	both	all	Atlas_AP	animalid0
-5.239999999999999	0.46562353064103196	713	both	all	Atlas_AP	animalid0
-5.16	0.3859516221723042	591	both	all	Atlas_AP	animalid0
-5.08	0.44799122302909944	686	both	all	Atlas_AP	animalid0
-5.0	0.5146021628963999	788	both	all	Atlas_AP	animalid0
-4.92	0.63084478344914	966	both	all	Atlas_AP	animalid0
-4.84	0.63084478344914	966	both	all	Atlas_AP	animalid0
-4.76	0.6328039287393548	969	both	all	Atlas_AP	animalid0
-4.68	0.6145185726973575	941	both	all	Atlas_AP	animalid0
-4.6000000000000005	0.6073350399665634	930	both	all	Atlas_AP	animalid0
-4.5200000000000005	0.5890496839245593	902	both	all	Atlas_AP	animalid0
-4.44	0.5844783449140584	895	both	all	Atlas_AP	animalid0
-4.36	0.5400710516691913	827	both	all	Atlas_AP	animalid0
-4.28	0.4519095136095289	692	both	all	Atlas_AP	animalid0
-4.2	0.3944412517632304	604	both	all	Atlas_AP	animalid0
-4.12	0.33174860247635934	508	both	all	Atlas_AP	animalid0
-4.04	0.2638315657489157	404	both	all	Atlas_AP	animalid0
-3.96	0.28081082493077664	430	both	all	Atlas_AP	animalid0
-3.88	0.15411942949689134	236	both	all	Atlas_AP	animalid0
-3.8	0.11036518468209593	169	both	all	Atlas_AP	animalid0
-3.7199999999999998	0.06465179457708578	99	both	all	Atlas_AP	animalid0
-3.6399999999999997	0.05159082597565431	79	both	all	Atlas_AP	animalid0
-3.5599999999999996	0.0052243874405725884	8	both	all	Atlas_AP	animalid0
-3.4799999999999995	0.003918290580429441	6	both	all	Atlas_AP	animalid0
-3.4	0.00848962959093055	13	both	all	Atlas_AP	animalid0
-3.3200000000000003	0.0019591452902147206	3	both	all	Atlas_AP	animalid0
-3.24	0.0	0	both	all	Atlas_AP	animalid0
-3.16	0.0	0	both	all	Atlas_AP	animalid0
-3.08	0.0	0	both	all	Atlas_AP	animalid0
-3.0	0.0	0	both	all	Atlas_AP	animalid0
-2.92	0.0	0	both	all	Atlas_AP	animalid0
-2.84	0.0	0	both	all	Atlas_AP	animalid0
-2.76	0.0	0	both	all	Atlas_AP	animalid0
-2.6799999999999997	0.0	0	both	all	Atlas_AP	animalid0
-2.5999999999999996	0.0	0	both	all	Atlas_AP	animalid0
-2.5199999999999996	0.0	0	both	all	Atlas_AP	animalid0
-2.4399999999999995	0.0	0	both	all	Atlas_AP	animalid0
-2.36	0.0	0	both	all	Atlas_AP	animalid0
-2.2800000000000002	0.0	0	both	all	Atlas_AP	animalid0
-2.2	0.0	0	both	all	Atlas_AP	animalid0
-2.12	0.0	0	both	all	Atlas_AP	animalid0
-2.04	0.0	0	both	all	Atlas_AP	animalid0
-7.96	0.0	0	Left	Negative	Atlas_AP	animalid0
-7.88	0.0	0	Left	Negative	Atlas_AP	animalid0
-7.8	0.0	0	Left	Negative	Atlas_AP	animalid0
-7.72	0.0	0	Left	Negative	Atlas_AP	animalid0
-7.64	0.0	0	Left	Negative	Atlas_AP	animalid0
-7.56	0.0	0	Left	Negative	Atlas_AP	animalid0
-7.4799999999999995	0.0	0	Left	Negative	Atlas_AP	animalid0
-7.4	0.0	0	Left	Negative	Atlas_AP	animalid0
-7.32	0.0	0	Left	Negative	Atlas_AP	animalid0
-7.24	0.007215423689679052	5	Left	Negative	Atlas_AP	animalid0
