bins	distribution	count	hemisphere	channel	axis	animal
-0.9199999999999999	0.0	0	both	all	Atlas_DV	animalid0
-0.76	0.0	0	both	all	Atlas_DV	animalid0
-0.6	0.0	0	both	all	Atlas_DV	animalid0
-0.44	0.0	0	both	all	Atlas_DV	animalid0
-0.27999999999999997	0.0	0	both	all	Atlas_DV	animalid0
-0.12	0.0	0	both	all	Atlas_DV	animalid0
0.040000000000000036	0.0026121937202862942	8	both	all	Atlas_DV	animalid0
0.20000000000000007	0.01861188025703987	57	both	all	Atlas_DV	animalid0
0.36	0.02677498563293455	82	both	all	Atlas_DV	animalid0
0.52	0.03265242150357867	100	both	all	Atlas_DV	animalid0
0.68	0.03852985737422289	118	both	all	Atlas_DV	animalid0
0.84	0.03428504257875766	105	both	all	Atlas_DV	animalid0
1.0	0.04048900266443756	124	both	all	Atlas_DV	animalid0
1.1600000000000001	0.04048900266443756	124	both	all	Atlas_DV	animalid0
1.32	0.04277467216968819	131	both	all	Atlas_DV	animalid0
1.48	0.0519173501906901	159	both	all	Atlas_DV	animalid0
1.6400000000000001	0.05910088292147741	181	both	all	Atlas_DV	animalid0
1.8	0.05616216498615548	172	both	all	Atlas_DV	animalid0
1.96	0.06595789143722892	202	both	all	Atlas_DV	animalid0
2.12	0.09044720756491294	277	both	all	Atlas_DV	animalid0
2.2800000000000002	0.10938561203698888	335	both	all	Atlas_DV	animalid0
2.44	0.16391515594796496	502	both	all	Atlas_DV	animalid0
2.6	0.2145264092785119	657	both	all	Atlas_DV	animalid0
2.76	0.2138733608484409	655	both	all	Atlas_DV	animalid0
2.92	0.21779165142886978	667	both	all	Atlas_DV	animalid0
3.08	0.27460686484509667	841	both	all	Atlas_DV	animalid0
3.24	0.29713703568256594	910	both	all	Atlas_DV	animalid0
3.4000000000000004	0.36864583877540325	1129	both	all	Atlas_DV	animalid0
3.56	0.4238284311164536	1298	both	all	Atlas_DV	animalid0
3.7199999999999998	0.43068543963220274	1319	both	all	Atlas_DV	animalid0
3.88	0.4012982602789819	1229	both	all	Atlas_DV	animalid0
4.04	0.36146230604461593	1107	both	all	Atlas_DV	animalid0
4.2	0.3493809100882918	1070	both	all	Atlas_DV	animalid0
4.36	0.31672848858471314	970	both	all	Atlas_DV	animalid0
4.5200000000000005	0.24293401598662534	744	both	all	Atlas_DV	animalid0
4.68	0.21387336084844152	655	both	all	Atlas_DV	animalid0
4.84	0.20505720704247407	628	both	all	Atlas_DV	animalid0
5.0	0.18089441512982588	554	both	all	Atlas_DV	animalid0
5.16	0.13714017031503045	420	both	all	Atlas_DV	animalid0
5.32	0.11036518468209593	338	both	all	Atlas_DV	animalid0
5.48	0.12146700799331267	372	both	all	Atlas_DV	animalid0
5.640000000000001	0.10024293401598709	307	both	all	Atlas_DV	animalid0
5.8	0.09044720756491294	277	both	all	Atlas_DV	animalid0
5.96	0.09828378872577181	301	both	all	Atlas_DV	animalid0
6.12	0.0052243874405725884	16	both	all	Atlas_DV	animalid0
6.28	0.0	0	both	all	Atlas_DV	animalid0
6.44	0.0	0	both	all	Atlas_DV	animalid0
6.6	0.0	0	both	all	Atlas_DV	animalid0
