bins	distribution	count	hemisphere	channel	axis	animal
-4.9	0.0002612193720286294	1	both	all	Atlas_ML	animalid0
-4.699999999999999	0.002089754976229035	8	both	all	Atlas_ML	animalid0
-4.5	0.0020897549762290447	8	both	all	Atlas_ML	animalid0
-4.300000000000001	0.0013060968601431471	5	both	all	Atlas_ML	animalid0
-4.1	0.0015673162321717766	6	both	all	Atlas_ML	animalid0
-3.9	0.002089754976229035	8	both	all	Atlas_ML	animalid0
-3.6999999999999997	0.006791703672744365	26	both	all	Atlas_ML	animalid0
-3.5	0.0078365811608589	30	both	all	Atlas_ML	animalid0
-3.3	0.009142678021002049	35	both	all	Atlas_ML	animalid0
-3.1	0.008881458648973401	34	both	all	Atlas_ML	animalid0
-2.9	0.044668512616895625	171	both	all	Atlas_ML	animalid0
-2.6999999999999997	0.10422652943942314	399	both	all	Atlas_ML	animalid0
-2.5	0.07601483726033133	291	both	all	Atlas_ML	animalid0
-2.3	0.06556606237918598	251	both	all	Atlas_ML	animalid0
-2.0999999999999996	0.10788360064782418	413	both	all	Atlas_ML	animalid0
-1.9	0.13426675722271553	514	both	all	Atlas_ML	animalid0
-1.6999999999999997	0.15934381693746394	610	both	all	Atlas_ML	animalid0
-1.4999999999999998	0.19016770283684264	728	both	all	Atlas_ML	animalid0
-1.2999999999999998	0.19826550336972973	759	both	all	Atlas_ML	animalid0
-1.0999999999999999	0.23561987356982428	902	both	all	Atlas_ML	animalid0
-0.8999999999999999	0.28786374797554964	1102	both	all	Atlas_ML	animalid0
-0.6999999999999997	0.33096494436027346	1267	both	all	Atlas_ML	animalid0
-0.49999999999999956	0.28734130923149237	1100	both	all	Atlas_ML	animalid0
-0.2999999999999994	0.28708008985946376	1099	both	all	Atlas_ML	animalid0
-0.09999999999999964	0.18598819288438498	712	both	all	Atlas_ML	animalid0
0.10000000000000009	0.19121258032495672	732	both	all	Atlas_ML	animalid0
0.30000000000000027	0.25468888772791365	975	both	all	Atlas_ML	animalid0
0.5000000000000004	0.28864740609163553	1105	both	all	Atlas_ML	animalid0
0.7000000000000006	0.3186876338749279	1220	both	all	Atlas_ML	animalid0
0.9000000000000004	0.2520766940076285	965	both	all	Atlas_ML	animalid0
1.1	0.19669818713755796	753	both	all	Atlas_ML	animalid0
1.3000000000000003	0.170576249934695	653	both	all	Atlas_ML	animalid0
1.5000000000000004	0.13635651219894457	522	both	all	Atlas_ML	animalid0
1.7000000000000006	0.08489629590930456	325	both	all	Atlas_ML	animalid0
1.9000000000000004	0.08228410218901863	315	both	all	Atlas_ML	animalid0
2.1	0.04937046131341096	189	both	all	Atlas_ML	animalid0
2.3000000000000003	0.051198996917611365	196	both	all	Atlas_ML	animalid0
2.5000000000000004	0.05198265503369725	199	both	all	Atlas_ML	animalid0
2.7000000000000006	0.03813802831617989	146	both	all	Atlas_ML	animalid0
2.9000000000000004	0.020113891646204553	77	both	all	Atlas_ML	animalid0
3.1000000000000005	0.00757536178883022	29	both	all	Atlas_ML	animalid0
3.3000000000000007	0.014628284833603313	56	both	all	Atlas_ML	animalid0
3.5	0.007052923044773026	27	both	all	Atlas_ML	animalid0
3.7	0.011493652369259644	44	both	all	Atlas_ML	animalid0
3.9000000000000004	0.012277310485345637	47	both	all	Atlas_ML	animalid0
4.1000000000000005	0.008097800532887476	31	both	all	Atlas_ML	animalid0
4.300000000000001	0.004701948696515351	18	both	all	Atlas_ML	animalid0
4.500000000000001	0.0036570712084007958	14	both	all	Atlas_ML	animalid0
4.700000000000001	0.004963168068543981	19	both	all	Atlas_ML	animalid0
4.9	0.001306096860143153	5	both	all	Atlas_ML	animalid0
-4.9	0.0	0	Left	Negative	Atlas_ML	animalid0
-4.699999999999999	0.0	0	Left	Negative	Atlas_ML	animalid0
-4.5	0.0	0	Left	Negative	Atlas_ML	animalid0
-4.300000000000001	0.0	0	Left	Negative	Atlas_ML	animalid0
-4.1	0.0	0	Left	Negative	Atlas_ML	animalid0
-3.9	0.0	0	Left	Negative	Atlas_ML	animalid0
-3.6999999999999997	0.0	0	Left	Negative	Atlas_ML	animalid0
-3.5	0.0	0	Left	Negative	Atlas_ML	animalid0
-3.3	0.0	0	Left	Negative	Atlas_ML	animalid0
-3.1	0.0	0	Left	Negative	Atlas_ML	animalid0
-2.9	0.0	0	Left	Negative	Atlas_ML	animalid0
-2.6999999999999997	0.0	0	Left	Negative	Atlas_ML	animalid0
-2.5	0.0	0	Left	Negative	Atlas_ML	animalid0
-2.3	0.0	0	Left	Negative	Atlas_ML	animalid0
-2.0999999999999996	0.0	0	Left	Negative	Atlas_ML	animalid0
-1.9	0.0	0	Left	Negative	Atlas_ML	animalid0
-1.6999999999999997	0.0	0	Left	Negative	Atlas_ML	animalid0
-1.4999999999999998	0.0	0	Left	Negative	Atlas_ML	animalid0
-1.2999999999999998	0.0	0	Left	Negative	Atlas_ML	animalid0
-1.0999999999999999	0.0	0	Left	Negative	Atlas_ML	animalid0
-0.8999999999999999	0.0	0	Left	Negative	Atlas_ML	animalid0
-0.6999999999999997	0.0	0	Left	Negative	Atlas_ML	animalid0
-0.49999999999999956	0.0	0	Left	Negative	Atlas_ML	animalid0
-0.2999999999999994	0.0	0	Left	Negative	Atlas_ML	animalid0
-0.09999999999999964	0.0	0	Left	Negative	Atlas_ML	animalid0
0.10000000000000009	0.3873239436619715	671	Left	Negative	Atlas_ML	animalid0
0.30000000000000027	0.5218194412375892	904	Left	Negative	Atlas_ML	animalid0
0.5000000000000004	0.5847379358115904	1013	Left	Negative	Atlas_ML	animalid0
0.7000000000000006	0.6343800507965822	1099	Left	Negative	Atlas_ML	animalid0
0.9000000000000004	0.4739090279381222	821	Left	Negative	Atlas_ML	animalid0
1.1	0.38443777418609987	666	Left	Negative	Atlas_ML	animalid0
1.3000000000000003	0.3417224659431999	592	Left	Negative	Atlas_ML	animalid0
1.5000000000000004	0.27187716462710665	471	Left	Negative	Atlas_ML	animalid0
1.7000000000000006	0.18356037866543506	318	Left	Negative	Atlas_ML	animalid0
1.9000000000000004	0.17894250750404128	310	Left	Negative	Atlas_ML	animalid0
2.1	0.10851997229277295	188	Left	Negative	Atlas_ML	animalid0
2.3000000000000003	0.1125606095589932	195	Left	Negative	Atlas_ML	animalid0
2.5000000000000004	0.11371507734934186	197	Left	Negative	Atlas_ML	animalid0
2.7000000000000006	0.08196721311475402	142	Left	Negative	Atlas_ML	animalid0
2.9000000000000004	0.04444700992842315	77	Left	Negative	Atlas_ML	animalid0
3.1000000000000005	0.015008081274532362	26	Left	Negative	Atlas_ML	animalid0
3.3000000000000007	0.02943892865389066	51	Left	Negative	Atlas_ML	animalid0
3.5	0.015585315169706822	27	Left	Negative	Atlas_ML	animalid0
3.7	0.024243823597321506	42	Left	Negative	Atlas_ML	animalid0
3.9000000000000004	0.0259755252828447	45	Left	Negative	Atlas_ML	animalid0
4.1000000000000005	0.017894250750403972	31	Left	Negative	Atlas_ML	animalid0
4.300000000000001	0.010390210113137881	18	Left	Negative	Atlas_ML	animalid0
4.500000000000001	0.007504040637266181	13	Left	Negative	Atlas_ML	animalid0
4.700000000000001	0.009812976217963553	17	Left	Negative	Atlas_ML	animalid0
4.9	0.002308935580697307	4	Left	Negative	Atlas_ML	animalid0
-4.9	0.0	0	Left	Positive	Atlas_ML	animalid0
-4.699999999999999	0.0	0	Left	Positive	Atlas_ML	animalid0
-4.5	0.0	0	Left	Positive	Atlas_ML	animalid0
-4.300000000000001	0.0	0	Left	Positive	Atlas_ML	animalid0
-4.1	0.0	0	Left	Positive	Atlas_ML	animalid0
-3.9	0.0	0	Left	Positive	Atlas_ML	animalid0
-3.6999999999999997	0.0	0	Left	Positive	Atlas_ML	animalid0
-3.5	0.0	0	Left	Positive	Atlas_ML	animalid0
-3.3	0.0	0	Left	Positive	Atlas_ML	animalid0
-3.1	0.0	0	Left	Positive	Atlas_ML	animalid0
-2.9	0.0	0	Left	Positive	Atlas_ML	animalid0
-2.6999999999999997	0.0	0	Left	Positive	Atlas_ML	animalid0
-2.5	0.0	0	Left	Positive	Atlas_ML	animalid0
-2.3	0.0	0	Left	Positive	Atlas_ML	animalid0
-2.0999999999999996	0.0	0	Left	Positive	Atlas_ML	animalid0
-1.9	0.0	0	Left	Positive	Atlas_ML	animalid0
-1.6999999999999997	0.0	0	Left	Positive	Atlas_ML	animalid0
-1.4999999999999998	0.0	0	Left	Positive	Atlas_ML	animalid0
-1.2999999999999998	0.0	0	Left	Positive	Atlas_ML	animalid0
-1.0999999999999999	0.0	0	Left	Positive	Atlas_ML	animalid0
-0.8999999999999999	0.0	0	Left	Positive	Atlas_ML	animalid0
-0.6999999999999997	0.0	0	Left	Positive	Atlas_ML	animalid0
-0.49999999999999956	0.0	0	Left	Positive	Atlas_ML	animalid0
-0.2999999999999994	0.0	0	Left	Positive	Atlas_ML	animalid0
-0.09999999999999964	0.0	0	Left	Positive	Atlas_ML	animalid0
0.10000000000000009	0.03521126760563377	61	Left	Positive	Atlas_ML	animalid0
0.30000000000000027	0.04098360655737701	71	Left	Positive	Atlas_ML	animalid0
0.5000000000000004	0.05310551835603783	92	Left	Positive	Atlas_ML	animalid0
0.7000000000000006	0.06984530131609322	121	Left	Positive	Atlas_ML	animalid0
0.9000000000000004	0.08312168090510305	144	Left	Positive	Atlas_ML	animalid0
1.1	0.0502193488801662	87	Left	Positive	Atlas_ML	animalid0
1.3000000000000003	0.03521126760563377	61	Left	Positive	Atlas_ML	animalid0
1.5000000000000004	0.02943892865389053	51	Left	Positive	Atlas_ML	animalid0
1.7000000000000006	0.0040406372662202695	7	Left	Positive	Atlas_ML	animalid0
1.9000000000000004	0.0028861694758716334	5	Left	Positive	Atlas_ML	animalid0
2.1	0.0005772338951743241	1	Left	Positive	Atlas_ML	animalid0
2.3000000000000003	0.0005772338951743241	1	Left	Positive	Atlas_ML	animalid0
2.5000000000000004	0.0011544677903486482	2	Left	Positive	Atlas_ML	animalid0
2.7000000000000006	0.0023089355806972965	4	Left	Positive	Atlas_ML	animalid0
2.9000000000000004	0.0	0	Left	Positive	Atlas_ML	animalid0
3.1000000000000005	0.0017317016855229646	3	Left	Positive	Atlas_ML	animalid0
3.3000000000000007	0.0028861694758716334	5	Left	Positive	Atlas_ML	animalid0
3.5	0.0	0	Left	Positive	Atlas_ML	animalid0
3.7	0.0011544677903486433	2	Left	Positive	Atlas_ML	animalid0
3.9000000000000004	0.0011544677903486534	2	Left	Positive	Atlas_ML	animalid0
4.1000000000000005	0.0	0	Left	Positive	Atlas_ML	animalid0
4.300000000000001	0.0	0	Left	Positive	Atlas_ML	animalid0
4.500000000000001	0.0005772338951743216	1	Left	Positive	Atlas_ML	animalid0
4.700000000000001	0.0011544677903486534	2	Left	Positive	Atlas_ML	animalid0
4.9	0.0005772338951743267	1	Left	Positive	Atlas_ML	animalid0
