Name	hemisphere	Area µm^2	Area mm^2	count	density µm^-2	density mm^-2	coverage index	relative count	relative density	channel	animal
ACVII	Left	8307.1	0.0083071	1	0.0001203789529438673	120.3789529438673	0.0001203789529438673	0.0021321961620469083	0.20527494894874296	Positive	animalid0
ACVII	Left	8307.1	0.0083071	1	0.0001203789529438673	120.3789529438673	0.0001203789529438673	0.00018850141376060322	0.02067137033395286	Negative	animalid0
ACVII	Right	7061.4	0.0070614	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ACVII	Right	7061.4	0.0070614	1	0.00014161497719998868	141.6149771999887	0.00014161497719998868	0.00014351320321469576	0.02164613325964747	Negative	animalid0
ACVII	both	15368.5	0.0153685	1	6.506815889644402e-05	65.06815889644402	6.506815889644402e-05	0.0013623978201634877	0.15379672779333833	Positive	animalid0
ACVII	both	15368.5	0.0153685	2	0.00013013631779288805	130.13631779288804	0.0002602726355857761	0.00016295934164425977	0.021129880979620874	Negative	animalid0
APr	Left	784375.7	0.7843756999999999	1	1.2748992606476718e-06	1.274899260647672	1.2748992606476718e-06	0.0021321961620469083	0.002174008613999774	Positive	animalid0
APr	Left	784375.7	0.7843756999999999	2	2.5497985212953436e-06	2.549798521295344	5.099597042590687e-06	0.00037700282752120643	0.00043784921052801557	Negative	animalid0
APr	Right	593601.99	0.59360199	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
APr	Right	593601.99	0.59360199	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
APr	both	1377977.69	1.37797769	1	7.257011541311674e-07	0.7257011541311674	7.257011541311674e-07	0.0013623978201634877	0.0017152853984827002	Positive	animalid0
APr	both	1377977.69	1.37797769	2	1.4514023082623349e-06	1.4514023082623349	2.9028046165246698e-06	0.00016295934164425977	0.0002356602564699748	Negative	animalid0
AT	Left	225063.3	0.2250633	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
AT	Left	225063.3	0.2250633	37	0.00016439819375260205	164.39819375260205	0.006082733168846276	0.006974552309142319	0.02823031653114325	Negative	animalid0
AT	Right	222530.6	0.2225306	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
AT	Right	222530.6	0.2225306	53	0.00023816949219568004	238.16949219568005	0.012622983086371043	0.0076061997703788745	0.03640468450713185	Negative	animalid0
AT	both	447593.9	0.44759390000000004	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
AT	both	447593.9	0.44759390000000004	90	0.00020107512635896064	201.07512635896063	0.01809676137230646	0.007333170373991689	0.03264802293460356	Negative	animalid0
Acs5	Left	38942.9	0.0389429	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
Acs5	Left	38942.9	0.0389429	1	2.5678621777011982e-05	25.678621777011983	2.5678621777011982e-05	0.00018850141376060322	0.004409510860803376	Negative	animalid0
Acs5	Right	38082.5	0.0380825	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
Acs5	Right	38082.5	0.0380825	1	2.625878027965601e-05	26.258780279656012	2.625878027965601e-05	0.00014351320321469576	0.004013707225094851	Negative	animalid0
Acs5	both	77025.4	0.0770254	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
