Name	hemisphere	Area µm^2	Area mm^2	length µm	length mm	density µm^-1	density mm^-1	coverage index	relative count	relative density	channel	animal
ACVII	Contra.	9099.04	0.009099040000000001	468.03810000000004	0.46803810000000007	0.05143818468761539	51438.184687615394	24.075030228640603	0.0006404482110900826	0.022167805825706998	marker3	mouse0
ACVII	Contra.	9099.04	0.009099040000000001	4260.4844	4.2604844	0.4682344950676115	468234.4950676115	1994.9057617774358	0.0018999784048390695	0.05650150407133283	marker2	mouse0
ACVII	Contra.	9099.04	0.009099040000000001	5337.7103	5.3377102999999995	0.5866234569800769	586623.456980077	3131.2260685441634	0.010104067817125997	0.2427341905612642	marker1	mouse0
ACVII	Ipsi.	4609.9	0.004609899999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	marker3	mouse0
ACVII	Ipsi.	4609.9	0.004609899999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	marker2	mouse0
ACVII	Ipsi.	4609.9	0.004609899999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	marker1	mouse0
ACVII	both	13708.94	0.013708940000000001	468.03810000000004	0.46803810000000007	0.03414108603582772	34141.08603582771	15.979329040145338	0.00028447080996601515	0.01100108770129932	marker3	mouse0
ACVII	both	13708.94	0.013708940000000001	4260.4844	4.2604844	0.31078146085692987	310781.4608569298	1324.0795657901604	0.0009339473947197645	0.03068831642630068	marker2	mouse0
ACVII	both	13708.94	0.013708940000000001	5337.7103	5.3377102999999995	0.38935981191835395	389359.81191835395	2078.2898784826607	0.005339735115808498	0.14262290232748018	marker1	mouse0
AMB	Contra.	122463.8	0.1224638	30482.7815	30.4827815	0.2489125888629946	248912.58886299463	7587.548058909998	0.041711653134060805	0.10727139713422697	marker3	mouse0
AMB	Contra.	122463.8	0.1224638	92755.12160000001	92.75512160000001	0.7574084880593286	757408.4880593286	70253.51641081518	0.041364481460892555	0.09139591213920875	marker2	mouse0
AMB	Contra.	122463.8	0.1224638	13170.869599999998	13.170869599999998	0.10754908470911402	107549.08470911403	1416.5149703030945	0.02493191877590718	0.04450186863795704	marker1	mouse0
AMB	Ipsi.	122031.59999999999	0.12203159999999999	7598.4182	7.5984182	0.06226598848167197	62265.988481671964	473.1230201201267	0.008308856968885602	0.01572011834057357	marker3	mouse0
AMB	Ipsi.	122031.59999999999	0.12203159999999999	9304.6034	9.3046034	0.07624749163331465	76247.49163331465	709.4526698928112	0.004011611790138367	0.0064247051569037246	marker2	mouse0
AMB	Ipsi.	122031.59999999999	0.12203159999999999	698.9021	0.6989021	0.005727222293242079	5727.222293242079	4.002767687913705	0.0014827749186035499	0.0020601596180271193	marker1	mouse0
AMB	both	244495.4	0.2444954	38081.1997	38.0811997	0.155754258362325	155754.258362325	5931.309016821094	0.02314552965482206	0.05018780756700757	marker3	mouse0
AMB	both	244495.4	0.2444954	102059.725	102.059725	0.4174300416285951	417430.0416285951	42602.79525535297	0.022372670645048158	0.041219399535673905	marker2	mouse0
AMB	both	244495.4	0.2444954	13869.7717	13.8697717	0.05672814989566266	56728.14989566265	786.8064880162199	0.01387503308201963	0.020779580054564848	marker1	mouse0
AP	Contra.	143709.7	0.14370970000000002	167.12179999999998	0.1671218	0.0011629124547612303	1162.91245476123	0.19434802268211535	0.00022868407047237083	0.0005011688815614444	marker3	mouse0
AP	Contra.	143709.7	0.14370970000000002	334.9677	0.3349677	0.002330863539482721	2330.8635394827206	0.7807639988343861	0.00014938005554453196	0.00028126354882672096	marker2	mouse0
AP	Contra.	143709.7	0.14370970000000002	80.7508	0.0807508	0.0005619022237190669	561.9022237190669	0.04537405408709363	0.00015285796973417198	0.000232504990767279	marker1	mouse0
